lat,lon,p_anomalous
38.5683,-105.4581,0.04
38.5653,-105.4569,0.015
38.5656,-105.4553,0.0
38.5658,-105.4522,0.015
38.5642,-105.4533,0.005
38.5625,-105.4514,0.035
38.5633,-105.4433,0.02
38.5631,-105.4453,0.025
38.5886,-105.4586,0.0
38.5842,-105.4508,0.01
38.5869,-105.4492,0.04
38.5864,-105.4514,0.015
38.5814,-105.4436,0.08
38.5842,-105.4447,0.055
38.5811,-105.4414,0.0
38.5222,-105.4461,0.01
38.5225,-105.4475,0.0
38.5194,-105.4539,0.03
38.5189,-105.4567,0.195
38.5211,-105.4578,0.01
38.5856,-105.4964,0.04
38.5856,-105.4933,0.01
38.5236,-105.4989,0.12
38.525,-105.4981,0.0
38.5192,-105.5086,0.01
38.5189,-105.5078,0.025
38.5158,-105.5097,0.02
38.5181,-105.5114,0.01
38.5147,-105.5133,0.01
38.5083,-105.5231,0.005
38.5011,-105.5294,0.03
38.5219,-105.5017,0.01
38.5225,-105.5017,0.005
38.5267,-105.5664,0.0
38.5278,-105.565,0.01
38.5278,-105.5589,0.02
38.5272,-105.5472,0.015
38.5261,-105.5447,0.025
38.5219,-105.5611,0.05
38.5222,-105.5572,0.01
38.5158,-105.5564,0.0
38.5158,-105.5533,0.015
38.5214,-105.5531,0.0
38.5211,-105.5506,0.01
38.5242,-105.5461,0.045
38.5272,-105.5375,0.0
38.5256,-105.5361,0.02
38.5258,-105.5311,0.005
38.525,-105.5283,0.01
38.5275,-105.5181,0.025
38.5264,-105.5117,0.06
38.5272,-105.5103,0.05
38.5633,-105.5136,0.005
38.5633,-105.5128,0.02
38.5631,-105.5114,0.045
38.5564,-105.5214,0.005
38.5578,-105.5203,0.05
38.5569,-105.5128,0.06
38.5508,-105.5061,0.03
38.5653,-105.5122,0.04
38.5672,-105.5131,0.005
38.5722,-105.5147,0.05
38.5681,-105.5178,0.035
38.5694,-105.5303,0.0
38.5689,-105.5311,0.065
38.5833,-105.5217,0.005
38.5844,-105.5228,0.0
38.5839,-105.5178,0.04
38.59,-105.5028,0.03
38.5894,-105.5192,0.005
38.5897,-105.5211,0.01
38.5858,-105.5322,0.005
38.5944,-105.5222,0.005
38.5547,-105.4508,0.015
38.5542,-105.4525,0.005
38.5519,-105.4578,0.045
38.5508,-105.4456,0.01
38.5517,-105.4442,0.065
38.5494,-105.4433,0.01
38.5503,-105.4467,0.035
38.5414,-105.4644,0.03
38.5383,-105.4647,0.05
38.5392,-105.4667,0.025
38.5353,-105.4658,0.045
38.5494,-105.4767,0.02
38.5492,-105.4781,0.03
38.5478,-105.4767,0.01
38.5467,-105.4683,0.005
38.5453,-105.4686,0.02
38.5514,-105.4686,0.015
38.5461,-105.4661,0.005
38.5444,-105.4667,0.02
38.5433,-105.4608,0.02
38.5456,-105.4572,0.005
38.5444,-105.4506,0.005
38.5467,-105.4514,0.02
38.5472,-105.4431,0.03
38.5358,-105.4444,0.015
38.6372,-105.5378,0.0
38.6383,-105.5378,0.03
38.6364,-105.5281,0.04
38.6333,-105.5233,0.005
38.6347,-105.5294,0.02
38.6267,-105.5317,0.01
38.6256,-105.5342,0.005
38.6633,-105.5253,0.06
38.6606,-105.5281,0.005
38.6575,-105.5278,0.01
38.6564,-105.5269,0.02
38.6639,-105.5281,0.03
38.6472,-105.5533,0.025
38.655,-105.5461,0.01
38.6544,-105.545,0.03
38.6569,-105.5494,0.0
38.6586,-105.5489,0.06
38.6628,-105.5353,0.0
38.6639,-105.535,0.015
38.67,-105.5339,0.015
38.6419,-105.5428,0.01
38.6344,-105.5881,0.05
38.635,-105.5894,0.025
38.6203,-105.5833,0.11
38.6169,-105.5881,0.015
38.6161,-105.5878,0.035
38.6203,-105.5756,0.02
38.6125,-105.5797,0.06
38.6114,-105.5803,0.005
38.6131,-105.5644,0.02
38.6117,-105.5636,0.025
38.6108,-105.5419,0.045
38.5878,-105.8947,0.005
38.5881,-105.8933,0.045
38.5914,-105.8881,0.07
38.5864,-105.8811,0.015
38.5794,-105.8458,0.05
38.5808,-105.8494,0.02
38.5808,-105.8556,0.01
38.5828,-105.8575,0.08
38.5811,-105.8581,0.095
38.5839,-105.8631,0.055
38.6083,-105.8558,0.02
38.6094,-105.8472,0.025
38.61,-105.8389,0.015
38.6108,-105.8372,0.0
38.6114,-105.8717,0.005
38.6075,-105.8686,0.01
38.5986,-105.87,0.01
38.5978,-105.8647,0.005
38.5967,-105.865,0.005
38.5994,-105.8431,0.02
38.6,-105.8514,0.005
38.5986,-105.8556,0.015
38.5972,-105.8569,0.03
38.6042,-105.8658,0.05
38.6,-105.9,0.12
38.6019,-105.8944,0.005
38.6006,-105.8939,0.0
38.6031,-105.8894,0.005
38.6011,-105.8869,0.005
38.6022,-105.8853,0.025
38.6092,-105.8967,0.02
38.6033,-105.8325,0.02
38.5881,-105.8494,0.015
38.5833,-105.8447,0.015
38.5811,-105.8492,0.03
38.5792,-105.8453,0.01
38.5767,-105.8447,0.035
38.5833,-105.8422,0.0
38.5847,-105.8425,0.01
38.5928,-105.8375,0.03
38.5958,-105.8356,0.005
38.5975,-105.8386,0.01
38.6003,-105.8364,0.04
38.6053,-105.8325,0.035
38.61,-105.8289,0.0
38.6089,-105.8283,0.005
38.6144,-105.8275,0.015
38.5906,-105.82,0.02
38.5875,-105.8178,0.01
38.5886,-105.8203,0.02
38.5869,-105.8128,0.005
38.5839,-105.8094,0.04
38.5836,-105.8081,0.015
38.5842,-105.8061,0.015
38.5844,-105.7925,0.01
38.5858,-105.7892,0.025
38.5875,-105.7939,0.015
38.5883,-105.7997,0.01
38.5928,-105.7731,0.005
38.5778,-105.7731,0.005
38.5897,-105.7825,0.04
38.5853,-105.7789,0.015
38.585,-105.8669,0.05
38.5869,-105.8672,0.01
38.5883,-105.8761,0.015
38.6064,-105.7714,0.015
38.6064,-105.775,0.02
38.6072,-105.7881,0.02
38.6067,-105.7869,0.015
38.6044,-105.7942,0.0
38.605,-105.7975,0.02
38.6067,-105.8089,0.025
38.6064,-105.8022,0.0
38.6136,-105.8072,0.01
38.6075,-105.8186,0.0
38.6081,-105.8194,0.01
38.6081,-105.8275,0.0
38.6061,-105.8069,0.01
38.6133,-105.7853,0.045
