lat,lon,p_anomalous
45.3006,-114.5681,0.875
45.3256,-114.5358,0.07
45.3261,-114.5353,0.065
45.3556,-114.5386,0.18
45.3561,-114.5386,0.155
45.3697,-114.5719,0.1
45.1333,-115.9633,0.025
45.1314,-115.9625,0.07
45.1136,-115.95,0.1
45.1028,-115.9486,0.15
45.0922,-115.9439,0.08
45.0914,-115.9453,0.04
45.035,-114.3878,0.14
45.0333,-114.3889,0.045
45.0033,-114.3342,0.15
45.0222,-114.3142,0.715
45.0214,-114.3128,0.81
45.0236,-114.3106,0.77
45.0472,-114.3608,0.105
45.0364,-114.2956,0.755
45.0689,-114.2706,0.23
45.0667,-114.2689,0.14
45.0461,-114.2811,0.145
45.0003,-114.4764,0.74
45.0011,-114.4783,0.765
45.1253,-114.2139,0.165
45.0917,-114.2258,0.185
45.0789,-114.2503,0.16
45.0381,-114.2175,0.135
45.0903,-114.2972,0.21
45.0894,-114.3128,0.13
45.0911,-114.3144,0.08
45.0881,-114.3436,0.825
45.0956,-114.3017,0.185
45.1169,-114.3472,0.735
45.165,-114.2619,0.135
45.4703,-114.0014,0.19
45.47,-114.0172,0.245
45.45,-114.0728,0.165
45.4486,-114.0653,0.2
45.4889,-114.0942,0.08
45.4883,-114.0644,0.095
45.4794,-114.0444,0.165
45.4758,-114.0447,0.205
45.4336,-114.0031,0.21
45.4081,-114.1683,0.16
45.4406,-114.1575,0.185
45.4606,-114.1447,0.8
45.4747,-114.1394,0.825
45.4761,-114.1386,0.825
45.4128,-114.0119,0.175
45.4314,-114.2094,0.13
45.4614,-114.2239,0.09
45.4636,-114.2272,0.075
45.4514,-114.2106,0.23
45.3189,-114.0364,0.89
45.3356,-114.0475,0.715
45.3047,-114.0403,0.745
45.3039,-114.0425,0.795
45.2894,-114.0744,0.755
45.2894,-114.0717,0.825
45.2686,-114.0878,0.7
45.2661,-114.0867,0.85
45.2906,-114.0322,0.72
45.2847,-114.0378,0.83
45.2819,-114.3044,0.165
45.2844,-114.2961,0.76
45.2836,-114.2703,0.14
45.2808,-114.2664,0.14
45.3069,-114.3383,0.195
45.3106,-114.3353,0.19
45.3519,-114.2797,0.805
45.3397,-114.2692,0.695
45.3492,-114.2678,0.745
45.3375,-114.2622,0.77
45.3308,-114.2436,0.1
45.3278,-114.2433,0.7
45.3289,-114.2383,0.075
45.3475,-114.2731,0.695
45.3894,-114.0497,0.765
45.3844,-114.0631,0.84
45.3956,-114.1153,0.135
45.3933,-114.13,0.115
45.5031,-114.4625,0.11
45.5033,-114.4708,0.09
45.4958,-114.4842,0.115
45.505,-114.46,0.045
45.4953,-114.4319,0.065
45.4972,-114.4289,0.11
45.4556,-114.4558,0.105
45.4725,-114.4386,0.065
45.4667,-114.3806,0.1
45.3933,-114.2561,0.065
45.4333,-114.2636,0.065
45.4331,-114.2658,0.11
45.4208,-114.2703,0.66
45.4214,-114.2853,0.735
45.4606,-114.3481,0.14
45.3972,-114.4419,0.055
45.4156,-114.3786,0.765
45.4275,-114.3622,0.81
45.4561,-114.3208,0.115
45.4231,-114.2839,0.725
45.3442,-114.4628,0.715
45.3706,-114.4781,0.09
45.3683,-114.4783,0.11
45.3403,-114.4603,0.72
45.1461,-114.2217,0.16
45.16,-114.2528,0.08
45.2483,-114.2797,0.225
45.2503,-114.3167,0.73
45.2747,-114.3319,0.78
45.3261,-114.4239,0.79
45.3197,-114.4483,0.715
45.3761,-114.2772,0.095
45.3628,-114.2978,0.845
45.3131,-114.4047,0.8
45.3122,-114.4011,0.765
45.3039,-114.3939,0.83
45.2975,-114.3614,0.705
45.2711,-114.3358,0.805
45.2567,-114.3211,0.715
45.2289,-114.3206,0.17
45.2175,-114.3214,0.2
45.2075,-114.3211,0.225
45.1489,-114.2383,0.21
45.1992,-115.8589,0.2
45.1611,-115.8925,0.235
45.1611,-115.8939,0.14
45.1664,-115.8767,0.045
45.1706,-115.8678,0.065
45.3442,-115.6986,0.15
45.3419,-115.6947,0.945
45.1636,-114.2825,0.195
45.1639,-114.2975,0.115
45.1697,-114.3083,0.15
45.1756,-114.3144,0.115
45.1758,-114.3122,0.16
45.2028,-114.3158,0.175
45.3994,-114.0292,0.13
45.3822,-114.0628,0.785
45.3747,-114.0867,0.14
45.3825,-114.1056,0.085
45.3908,-114.1417,0.08
45.3958,-114.1694,0.155
45.3975,-114.1861,0.075
45.3975,-114.2053,0.125
45.3794,-114.2725,0.14
45.3603,-114.3125,0.18
45.2136,-115.8067,0.775
45.3514,-114.3269,0.145
45.3417,-114.3361,0.145
45.3308,-114.3653,0.135
45.3211,-114.3886,0.69
45.0592,-115.7672,0.045
45.0614,-115.7692,0.015
45.0831,-115.7833,0.08
45.0828,-115.7864,0.055
45.0653,-115.8394,0.225
45.0547,-115.87,0.085
45.0519,-115.8972,0.085
45.0225,-115.9269,0.105
45.0119,-115.9478,0.105
45.0003,-115.9453,0.035
45.0489,-115.9039,0.02
45.0472,-115.6667,0.035
45.0428,-115.6769,0.145
45.0314,-115.6944,0.155
45.035,-115.735,0.105
45.0419,-115.7467,0.085
45.0533,-115.7486,0.085
45.0969,-115.7089,0.06
45.0186,-115.7144,0.15
45.0044,-115.6933,0.07
45.01,-115.4728,0.76
45.0089,-115.47,0.745
45.0067,-115.3933,0.23
45.0286,-115.4,0.81
45.02,-115.3931,0.19
45.0269,-115.4033,0.15
45.0306,-115.4067,0.805
45.0367,-115.4164,0.76
45.0628,-115.4156,0.765
45.1247,-114.4969,0.065
45.1364,-114.4892,0.025
45.1486,-114.4767,0.12
45.1508,-114.4772,0.135
45.1556,-114.4694,0.13
45.1575,-114.4503,0.105
45.1631,-114.4383,0.08
45.1653,-114.4256,0.855
45.1756,-114.4067,0.745
45.1678,-114.3689,0.09
45.1581,-114.3694,0.065
45.1583,-114.3714,0.18
45.1656,-114.3675,0.095
45.1069,-114.1783,0.16
45.1089,-114.1761,0.13
45.0875,-114.1497,0.135
45.0692,-114.1381,0.1
45.0689,-114.1361,0.19
45.0947,-114.1517,0.795
45.0822,-114.1619,0.23
45.0131,-114.0897,0.11
45.2408,-115.7533,0.715
45.2258,-115.8033,0.78
45.2272,-115.8033,0.665
45.3831,-114.1044,0.055
45.4,-114.1692,0.105
45.3986,-114.2283,0.115
45.3983,-114.2456,0.09
45.2644,-114.1181,0.705
45.2794,-114.1547,0.045
45.3422,-114.1364,0.145
45.3433,-114.1344,0.065
45.3472,-114.1436,0.105
45.2547,-114.1,0.625
45.2008,-115.9561,0.04
45.2,-115.9539,0.04
45.2264,-115.9417,0.11
45.2197,-115.9303,0.08
45.1811,-115.9861,0.095
45.1767,-115.9867,0.12
45.0847,-115.9969,0.105
45.0767,-115.9842,0.08
45.0617,-115.9958,0.06
45.2464,-115.6506,0.78
45.2442,-115.6367,0.83
45.2428,-115.6408,0.8
45.2467,-115.6531,0.86
45.2364,-115.6781,0.85
45.2364,-115.675,0.86
45.1031,-114.4392,0.055
45.1008,-114.4372,0.06
45.0961,-114.46,0.06
45.1836,-114.1433,0.86
45.1861,-114.12,0.11
45.1936,-114.1361,0.705
45.2025,-114.1322,0.705
45.2075,-114.1342,0.83
45.2161,-114.1586,0.765
45.2122,-114.1636,0.805
45.2169,-114.1747,0.765
45.215,-114.1856,0.85
45.2131,-114.1853,0.825
45.2325,-114.2144,0.815
45.2222,-114.1197,0.91
45.2247,-114.1156,0.825
45.2197,-114.1058,0.89
45.2328,-114.0933,0.855
45.2394,-114.0739,0.77
45.2378,-114.0742,0.735
45.11,-114.115,0.755
45.2539,-115.8972,0.8
45.2569,-115.8789,0.725
45.2633,-115.8225,0.775
45.2614,-115.825,0.715
45.2517,-115.8103,0.74
45.2536,-115.8139,0.71
45.2722,-115.8383,0.77
45.2733,-115.835,0.77
45.2864,-115.8406,0.74
45.2911,-115.8367,0.855
45.3089,-115.8214,0.75
45.3364,-115.8072,0.74
45.3608,-115.7797,0.885
45.3617,-115.7833,0.915
45.3389,-115.7617,0.055
45.3572,-115.7544,0.795
45.3719,-115.75,0.645
45.2764,-115.8586,0.715
45.2517,-115.5414,0.115
45.2586,-115.5403,0.09
45.2589,-115.5367,0.095
45.28,-115.5819,0.285
45.255,-115.5008,0.08
45.2553,-115.5103,0.01
45.2289,-115.5572,0.76
45.2203,-115.5703,0.045
45.2194,-115.5797,0.09
45.1542,-115.5883,0.12
45.0003,-114.7275,0.77
45.2394,-115.8142,0.655
45.2358,-115.8769,0.625
45.2297,-115.8756,0.67
45.2214,-115.8786,0.67
