lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
36.1198,-77.8409,20.0,82.0,36.0,700.0,9.9,-0.01,1.0,35700.0,3.63,,-5.0,14.0,5.0,211.0,7.6,-2.0,5285687
36.1049,-77.8143,44.0,156.0,85.0,700.0,16.0,-0.01,,38800.0,3.29,,-5.0,11.0,-5.0,301.0,6.1,2.0,5285688
36.4508,-77.5979,9.0,122.0,37.0,400.0,5.2,-0.01,4.0,,1.61,,-5.0,10.0,5.0,76.0,4.0,-2.0,5285689
36.4329,-77.5455,7.0,32.0,18.0,900.0,2.8,-0.01,1.0,12000.0,1.48,,-5.0,15.0,15.0,31.0,3.3,-2.0,5285690
36.3351,-77.5283,,,,1100.0,3.9,-0.01,1.0,7000.0,,,10.0,8.0,10.0,,10.5,-2.0,5285691
36.369,-77.5232,7.0,58.0,24.0,500.0,2.8,-0.01,1.0,9400.0,1.74,,-5.0,8.0,15.0,25.0,5.1,-2.0,5285692
36.3347,-77.4681,11.0,47.0,27.0,800.0,2.6,-0.01,3.0,8300.0,2.66,,5.0,8.0,10.0,19.0,9.9,-2.0,5285693
36.3049,-77.3834,11.0,74.0,26.0,900.0,3.6,-0.01,2.0,7200.0,3.58,,10.0,6.0,15.0,14.0,5.5,-2.0,5285694
36.2616,-77.3701,9.0,60.0,32.0,700.0,4.5,-0.01,1.0,14000.0,2.04,,5.0,13.0,10.0,48.0,5.0,-2.0,5285695
36.2429,-77.3501,7.0,94.0,49.0,1100.0,4.3,-0.01,2.0,7100.0,4.23,,-5.0,8.0,5.0,6.0,11.1,-2.0,5285698
36.2274,-77.3672,10.0,84.0,40.0,900.0,4.6,-0.01,1.0,5800.0,3.71,,15.0,8.0,5.0,12.0,6.8,-2.0,5285699
36.4066,-77.4995,8.0,79.0,34.0,900.0,4.1,-0.01,1.0,,1.95,,-5.0,10.0,15.0,19.0,7.5,-2.0,5285704
36.384,-77.4485,22.0,101.0,51.0,700.0,6.7,-0.01,2.0,17300.0,1.51,,5.0,15.0,15.0,81.0,4.8,-2.0,5285705
