lon,lat,p_anomalous,label,nearest_gold_deg
-112.4564,45.8358,0.03,1,0.013599661760500306
-112.4564,45.8358,0.0,1,0.013599661760500306
-112.4278,45.9186,0.06,1,0.00942352906293499
-112.4278,45.9186,0.04,1,0.00942352906293499
-112.4278,45.9186,0.06,1,0.00942352906293499
-112.4278,45.9186,0.0,1,0.00942352906293499
-112.4458,45.8708,0.03,1,0.01253668217672318
-112.4425,45.8653,0.06,1,0.007487082208707145
-112.4261,45.8431,0.27,1,0.02302347497663865
-112.4261,45.8431,0.0,1,0.02302347497663865
-112.4261,45.8431,0.0,1,0.02302347497663865
-112.4147,45.8375,0.0,1,0.013815216248750569
-112.4044,45.8361,0.01,1,0.00759237775667165
-112.4075,45.8308,0.0,1,0.0040085159348519014
-112.4075,45.8306,0.0,1,0.003897717280657104
-112.3911,45.8319,0.0,1,0.013541203786971094
-112.3911,45.8319,0.01,1,0.013541203786971094
-112.3911,45.8319,0.03,1,0.013541203786971094
-112.3786,45.8283,0.005,1,0.025610860977327947
-112.3786,45.8283,0.015,1,0.025610860977327947
-112.3786,45.8283,0.01,1,0.025610860977327947
-112.3658,45.8306,0.005,1,0.038466819468224715
-112.3658,45.8306,0.02,1,0.038466819468224715
-112.3658,45.8306,0.01,1,0.038466819468224715
-112.3406,45.8678,0.01,1,0.03197311996036472
-112.3406,45.8678,0.01,1,0.03197311996036472
-112.3406,45.8678,0.015,1,0.03197311996036472
-112.2867,45.8517,0.02,1,0.029120171702782322
-112.2867,45.8517,0.02,1,0.029120171702782322
-112.2867,45.8517,0.02,1,0.029120171702782322
-112.2939,45.8458,0.005,1,0.03550009014073673
-112.2939,45.8458,0.01,1,0.03550009014073673
-112.2939,45.8458,0.01,1,0.03550009014073673
-112.2836,45.8625,0.02,1,0.021475204306366395
-112.2836,45.8625,0.02,1,0.021475204306366395
-112.2836,45.8625,0.02,1,0.021475204306366395
-112.2861,45.8708,0.01,1,0.01312800060938489
-112.2861,45.8708,0.02,1,0.01312800060938489
-112.2861,45.8708,0.01,1,0.01312800060938489
-112.2611,45.8664,0.005,1,0.015212836684852463
-112.2611,45.8664,0.01,1,0.015212836684852463
-112.2611,45.8664,0.005,1,0.015212836684852463
-112.3469,45.8197,0.01,1,0.05798320618938034
-112.3469,45.8197,0.01,1,0.05798320618938034
-112.3469,45.8197,0.01,1,0.05798320618938034
-112.2833,45.8069,0.01,1,0.01190052099700285
-112.2833,45.8069,0.01,1,0.01190052099700285
-112.2833,45.8069,0.01,1,0.01190052099700285
-112.2778,45.7808,0.06,1,0.033717093587678625
-112.2778,45.7808,0.0,1,0.033717093587678625
-112.2778,45.7808,0.005,1,0.033717093587678625
